id,handle,type,depth_ps,geo_age_ps,geo_age_lb,geo_age_ub,set_age_default,x,y,set_year
3452,KELLHOL2,Presettlement_paleon,21,7.28364401167783,-32.9544811310651,116.398933537495,481,444723.936510177,994596.812470678,43
1448,KELLNERS,Presettlement_paleon,60,92.71841,-1.53233335,216.2203675,330,633325.771426097,862337.871520861,104
1643,LITTLPIN,Presettlement_paleon,150,163.248222001848,121.408821925,205.252446044225,189,356204.519762,1001203.00791986,43
1735,MENDOTAC,Presettlement_paleon,65.5,110.013942014172,26.8895150328437,230.175048407303,110,498782.725726672,744488.118802167,116
2011,RADTKE,Presettlement_paleon,52,104.908297658599,10.035378137862,211.091500497412,190,607640.258110912,770452.920813728,104
3620,SEIDEL02,Presettlement_paleon,40,93.1168019,24.192305625,189.747923875,288,661058.891804945,884429.934372421,104
2624,TAMARACK,Presettlement_paleon,13,51.4684900000001,-11.5572512090975,133.329688753982,156,345952.20752275,875441.466510828,99
3035,WOODLAKE,Presettlement_paleon,100,82.663466325,-1.358961705,204.393210865234,287,465839.290126148,996486.90656434,43
13060,ADELINE,Presettlement_paleon,28.5,27.018710000004,-34.2311914994806,118.626541406181,102,392090.017961711,1111623.90980303,43
13069,ELEVENS,Presettlement_paleon,26.5,31.76099290796,-30.9400698028377,118.745987986372,174,367932.922498393,1122918.95384117,43
13071,ESKALAKE,Presettlement_paleon,17.5,-23.56269630725,-62.2927562984375,94.050270346875,116,423500.653024989,984376.704735822,43
13073,FALLISON,Presettlement_paleon,23.5,15.1881232725601,-40.2541369758141,102.461984380371,138,507717.032464717,1066569.93619601,43
14446,HELLHOLE,Presettlement_paleon,16.5,7.69253562944049,-45.8918104629328,99.8175321100018,105,305160.267847258,1063039.71313583,43
15460,ADVENTUR,Settlement_33649,29.5,108.00415,28.33114225,209.6436944375,100,330395.301727178,1094136.40917019,43
15463,BENACH,Settlement_33658,14.5,115.276105,31.47469875,174.970945,100,304059.576896767,1078954.87904159,43
15477,BLUEJ,Settlement_33662,24.5,106.33292,29.5473805,192.826698875,100,365795.55829206,1125770.01259895,43
15478,BROZIE,Settlement_33664,39.5,141.901965,63.167078225,277.0998423,100,315880.047973587,1081202.58188829,43
15479,CAMPTWO,Settlement_33666,78.5,133.2944395,54.6754632625,260.517631325,100,375616.480586395,1135446.48213104,43
15740,HEMLOCK,Ambrosia rise_37152,18,69.36603,38.5352325,98.7510675,100,389673.231228143,1112417.10958905,43
15882,WARNERWI,Presettlement_paleon,38.5,37.9753203973729,-21.8694127867296,120.506830362065,100,323024.389672972,1098340.70496084,43
17387,BEAVERWI,Ambrosia rise_37374,22,80.22516,46.2907600000001,110.325036,80,613359.974285349,939510.585123773,43
19931,LONESTAR,Presettlement_paleon,17.5,8.89234950546098,-45.3308819737036,101.476221296256,77,295730.496329594,1080402.15787447,43
19933,LILY04,Presettlement_paleon,34.5,43.2547770149941,-22.726824156245,134.29185647375,86,302421.025745146,1076170.02534929,43
332,CAMP11LK,Presettlement_paleon,10,12.7358358276,-50.2366144288575,80.0784694817574,192,635928.718785106,1133028.27880558,43
532,CUB2,Presettlement_paleon,24,38.4039402021631,1.1783495334,155.782441575888,223,864728.728170992,904696.221088265,43
679,DEMONTLK,Presettlement_paleon,60,128.91549,44.72933751,243.8438698,207,858474.955393812,769048.302064685,110
847,FRAINSLK,Presettlement_paleon,410,403.54718987,172.451938890942,821.027219225125,409,968573.108404928,639739.734765968,110
1524,KITCHNER,Presettlement_paleon,60,67.4114636000004,-20.0028710741525,188.79398942434,216,672949.509957926,1019436.6768787,90
1581,LAKE27,Presettlement_paleon,20,80.8481000010418,8.45909572064942,222.248769889079,258,879352.164766854,945226.540184882,43
1665,LOSTLAKE,Presettlement_paleon,10,32.39655,-38.061147,112.62755,120,639675.130018375,1138692.68012836,43
2586,SPIRIT,Presettlement_paleon,20,51.8080458693,-21.7415012856371,177.405651110553,285,715663.596791599,1106890.75250386,99
3831,VESTABRG,Presettlement_paleon,618,68.7764588,2.125728375,151.861195,158,867757.996674814,761807.193165803,110
2961,WINTERGR,Presettlement_paleon,68,107.56206012829,7.490729350512,229.141039291887,200,824316.939037802,649775.618102449,110
3032,WOLVERIN,Presettlement_paleon,15,-28.824799361477,-42.985954905,-13.87021484575,398,814916.936097577,1098559.14002839,43
12001,LTDOLLAR,Presettlement_paleon,12,-27.75269793942,-41.312683989,-12.124893675424,108,841291.721500651,1070737.91816573,104
13047,IRWINSMT,Presettlement_paleon,16.5,22.697717757374,-51.8416855103381,121.466260865355,290,971569.65197355,939666.976445116,43
14933,NELSONMI,Ambrosia rise_31861,12,42.6177,19.057338,112.1865,290,835863.525509686,1075635.78525994,99
15032,MUDLKMI,Ambrosia rise_32221,19,87.47827,-22.53359915,222.91454,114,616273.445463919,1185852.88006616,104
15660,BUCKMI,Settlement_34012,80,144.68292,43.866273,395.07136,114,762185.589125341,1110547.27199743,99
17404,LORRAINE,Ambrosia rise_37491,113.5,123.939491,78.2184178125,219.628324,114,750618.70196745,1069122.08637935,43
17406,PENEGOR,Ambrosia rise_37514,13,84.784735,36.9922555,147.2647775,80,571203.154526436,1131454.95606632,99
20397,SRHODY,Ambrosia rise_41103,29.5,104.60234,51.5008563,164.902527,119,783695.506894711,1114798.56475289,99
20512,MINDEN,Ambrosia rise_41274,9,97.9837,36.867548,154.76308,119,1031027.12255157,781343.136483439,110
