id sitename handle lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 173.922440652335 138 20 9 0 118 12 8 7 64 0 85 286 2.5 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 308.353761572464 258 24.5 9 0 81 12 6 7 71 0 63 306 2 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 467.236716981968 417 30.5 11 0 78 12 1 3 58 1 37 270 3.5 1
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 580.954665281838 523 34.5 4 0 121 4 1 8 115 1.5 37 294 7.5 0
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 698.9796352165 651 39.5 5 0 90 3 2 5 105 2 40 192 7.5 4
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 772.227451243113 741 44.5 5 0 56 10 8 2 95 0 28 202 4 2
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 842.260713325179 831 49.5 3 0 48 3 0 0 88 1.5 38 173 7 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 927.324801925494 910 54.5 4 0 58 1 3 4 148 1.5 43 199 4.5 0
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1033.08420971972 1001 60.5 14 0 87 6 6 6 113 2.5 39 251 5.5 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1105.9024715049 1062 64.5 4 0 45 5 4 2 63 2 25 154 4 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1182.20474793994 1138 69.5 3 0 74 9 7 3 76 2 34 220 3 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1230.83542283202 1189 74.5 4 0 44 8 0 2 111 0.5 33 184 5.5 0
