id,sitename,lat,long,state,altitude,age_bacon,age_bchron,age_default,depth,ASH,BEECH,BIRCH,ELM,HEMLOCK,MAPLE,OAK,OTHER.CONIFER,OTHER.HARDWOOD,PINE,SPRUCE,TAMARACK
275,BillysLake,46.27058,-94.551555,minnesota,383,63.5518964417245,57.988,159,210,1,0,47,1,0,2,20,0,37,148,3,1
275,BillysLake,46.27058,-94.551555,minnesota,383,63.5531543656423,68.963,183,214,0,0,22,2,0,1,15,0,33,113,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,63.5550412515191,102.504,220,220,3,0,28,3,1,0,18,0,31,107,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,63.5562991754369,210.914,244,224,2,0,95,7,0,0,80,0,60,208,2,0
275,BillysLake,46.27058,-94.551555,minnesota,383,127.924362456143,327.367,317,230,3,0,44,5,0,1,24,0,21,83,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,179.418561495925,378.294,371,234,2,0,64,2,0,1,32,0,25,89,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,256.659860055597,443.85,452,240,0,0,47,3,0,0,48,0,20,103,2,0
275,BillysLake,46.27058,-94.551555,minnesota,383,305.977407594007,482.733,506,244,4,0,41,1,0,2,39,0,21,92,2,0
275,BillysLake,46.27058,-94.551555,minnesota,383,330.636181363212,501.743,533,246,4,0,69,6,0,1,100,0,56,198,3,0
275,BillysLake,46.27058,-94.551555,minnesota,383,355.294955132417,519.314,560,248,4,0,73,5,0,2,100,0,61,176,4,0
275,BillysLake,46.27058,-94.551555,minnesota,383,379.953728901622,536.879,587,250,2,0,32,5,0,0,52,0,27,92,1,1
275,BillysLake,46.27058,-94.551555,minnesota,383,429.271276440032,569.078,640,254,0,0,28,0,0,1,37,0,18,78,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,504.28681844223,621.088,721,260,1,0,25,6,0,0,41,0,16,87,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,554.435742536306,655.611,775,264,1,0,24,5,0,1,45,0,29,93,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,629.65912867742,706.448,856,270,6,0,22,3,0,0,42,0,16,60,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,680.053455327465,741.069,910,274,2,0,31,7,0,1,136,0,66,161,2,1
275,BillysLake,46.27058,-94.551555,minnesota,383,755.644945302532,795.014,991,280,1,0,21,4,1,0,58,0,24,70,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,806.039271952577,831.343,1044,284,4,0,32,3,0,1,43,0,34,60,2,1
275,BillysLake,46.27058,-94.551555,minnesota,383,879.491749155422,890.978,1125,290,6,0,33,5,0,0,56,0,32,82,4,0
275,BillysLake,46.27058,-94.551555,minnesota,383,928.17486558769,937.02,1179,294,3,0,21,4,0,1,63,0,29,67,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,1001.19954023609,1041.406,1260,300,5,0,20,6,0,0,66,0,27,38,2,0
275,BillysLake,46.27058,-94.551555,minnesota,383,1103.65410996859,1187.736,1351,310,3,0,29,4,0,3,53,0,34,46,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,1203.55781139805,1282.59,1443,320,2,0,29,4,0,3,56,0,24,39,0,1
275,BillysLake,46.27058,-94.551555,minnesota,383,1300.91064452445,1370.111,1534,330,3,0,19,4,0,0,59,0,30,47,1,2
275,BillysLake,46.27058,-94.551555,minnesota,383,1399.96159898021,1456.806,1626,340,5,0,30,3,0,1,94,0,38,40,0,1
275,BillysLake,46.27058,-94.551555,minnesota,383,1499.21539578605,1540.23,1717,350,3,0,42,6,0,3,63,0,58,41,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,1697.63300785601,1703.631,1900,370,5,0,48,6,0,1,109,3,41,44,2,1
275,BillysLake,46.27058,-94.551555,minnesota,383,1994.15249589828,1979.485,2174,400,2,0,27,1,0,2,66,1,35,38,2,0
275,BillysLake,46.27058,-94.551555,minnesota,383,2151.00496067433,2229.675,2302,415,2,0,28,4,0,0,97,1,75,23,1,0
275,BillysLake,46.27058,-94.551555,minnesota,383,2311.83804529131,2382.675,2424,430,1,0,26,4,0,1,61,0,26,33,0,1
275,BillysLake,46.27058,-94.551555,minnesota,383,2522.62358792457,2569.073,2587,450,1,0,46,5,0,0,106,0,37,27,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,2729.71987445642,2751.959,2750,470,2,0,33,5,0,0,64,0,45,19,0,1
275,BillysLake,46.27058,-94.551555,minnesota,383,2939.69356894312,2932.639,2913,490,2,0,22,5,0,0,68,0,18,14,4,0
275,BillysLake,46.27058,-94.551555,minnesota,383,3150.17754013279,3120.953,3076,510,3,0,14,4,0,0,64,0,20,12,0,0
275,BillysLake,46.27058,-94.551555,minnesota,383,3362.69015266612,3303.351,3239,530,0,0,12,3,0,0,52,1,23,22,5,0
