"ID","longitude","latitude","altitude","mean.idw.age.2d","sd.idw.age.2d","lower.95.idw.2d","upper.95.idw.2d","mean.idw.age.3d","sd.idw.age.3d","lower.95.idw.3d","upper.95.idw.3d"
357,299.031878,874.811663,291,10809.8131250616,207.96717786019,10451.2681239359,11155.4680706248,10819.5293024353,208.442134524082,10460.7196894347,11165.0092094345
364,855.393831,714.370606,129.6,11096.1067315052,62.117623589661,10976.9828903669,11214.0214209862,11096.8627922141,62.180187559187,10977.9650136666,11215.2939071252
368,170.226741,642.994119,174.6,10432.8843550146,100.240315945843,10242.7637937607,10619.3110514796,10420.5723404024,95.6300830062999,10238.9702762173,10599.2486824930
383,442.498099,752.606934,292.8,10784.9968052007,92.3488265240088,10617.8798330362,10955.6147786443,10801.9846753594,95.8464468240935,10629.287627009,10976.2786632731
384,1094.969357,895.201225,199.8,11133.6275282984,73.0051147112127,10991.4355310122,11270.5055027838,11134.6318738832,72.67615916538,10993.2538976656,11270.7933539273
395,235.179732,600.5461,154.8,10289.2070261233,84.5854289993053,10145.5122790428,10438.8878333752,10301.3553827214,83.3549125299204,10159.5987140848,10447.8552186074
396,486.999517,952.374979,180.6,10903.4597943296,109.802094016488,10706.0745781644,11097.1893812273,10902.0996780155,108.297472028446,10707.0002802664,11093.8256972187
398,550.898196,351.551151,181.2,11111.2573682843,74.8708684659772,10978.1713452011,11253.9241128867,11098.6819260833,74.1646170534363,10965.8388873875,11240.5320292263
400,171.112339,862.488985,234.6,10795.1669197553,374.621874560624,10158.0348569459,11412.4676168222,10795.5876978078,373.852603943896,10159.6844260707,11411.8120504950
407,343.697933,953.673391,277.2,10858.2753213701,171.324997452855,10560.6874998261,11143.5824368687,10862.3359116178,172.700842219811,10562.1969496983,11149.6128367013
412,1313.731467,494.095588,65.4,10778.1311694609,195.716386336835,10445.6719710586,11095.5119841141,10821.8836250666,183.516174960190,10507.9605562389,11123.4624507847
415,1609.740795,230.329003,115.2,11270.8655789575,97.9158705228528,11105.7301190185,11439.7442655233,11284.9918843412,99.8625966335282,11119.3342296769,11457.4655324455
423,1322.08686,664.014767,145.2,11033.0207160660,125.172400644765,10798.3410759018,11253.5856474277,11038.6697711257,124.542098103107,10804.8927351091,11258.7802619127
425,1322.08686,664.014767,145.2,11033.0207160660,125.172400644765,10798.3410759018,11253.5856474277,11038.6697711257,124.542098103107,10804.8927351091,11258.7802619127
438,1166.300549,475.471964,180,11570.7378062833,189.145639728353,11248.4873999897,11877.62545822,11555.8377695116,185.068962463049,11238.8168293547,11855.3437917552
444,1637.606707,993.976186,138,11059.3060470732,66.809824529879,10922.4395783711,11182.0416311568,11064.4647951476,66.6377660686521,10928.6278672409,11186.8132116483
445,1649.324653,1004.350371,162,11056.3233959793,66.7697722818894,10919.3207885568,11179.0843981923,11063.9463543748,66.2768935153624,10929.0589400538,11184.9724001666
461,503.334581,383.609947,154.2,10509.8135768725,88.9217377055737,10362.9245420324,10656.8014967640,10539.1509361897,86.1463036509008,10394.8632183791,10682.7601086623
470,70.643844,855.580183,257.4,10790.5157872092,439.52899472984,10048.4797742836,11512.9754697601,10791.1157332790,438.768260910786,10050.7331637544,11512.2261803342
472,1945.087858,490.589427,24,11084.8556218021,66.825723990035,10955.3037674726,11214.5620943035,11102.8830618528,65.5543577535247,10976.0509274246,11229.9982114910
474,1945.087858,490.589427,24,11084.8556218021,66.825723990035,10955.3037674726,11214.5620943035,11102.8830618528,65.5543577535247,10976.0509274246,11229.9982114910
475,1757.624458,426.075678,216,11044.4927885218,97.0503610734173,10876.7363732553,11209.2249889017,11022.2317355252,102.320343399672,10849.8436066069,11193.5956826382
478,-155.028011,811.845331,266.4,11044.4347047871,199.426726850146,10716.2066746614,11375.0759661876,11044.4347047871,199.426726850146,10716.2066746614,11375.0759661876
492,2052.464926,851.837778,62.4,10740.4267331877,142.916298750391,10511.5358984661,10976.3277353446,10750.6690757548,140.110987019829,10525.9069538154,10981.2846510885
494,39.403017,-55.327141,168,11078.2108627508,63.8894495201694,10959.4125415213,11200.1365346730,11074.2843385202,63.859478529372,10955.2496738990,11195.6346867527
496,184.278399,945.398369,235.8,10832.4308378539,291.017740708049,10335.5126407393,11310.3500758841,10832.3052525786,291.651971489888,10334.3162128303,11311.1305926162
