id,SiteName,Handle,Longitude,Latitude,Altitude,GeoPolitic,Chronology,AgeType,AgeModel,AgeBoundYo,AgeBoundOl,X21_18,X18_145,X145_129,X129_115,X115_105,Source,lon_alb_km,lat_alb_km,alt_km,picea_decline_idw_2d_age_mean,picea_decline_idw_2d_age_older,picea_decline_idw_2d_age_younger,picea_decline_depth,picea_decline_age_basis,alnus_decline_idw_2d_age_mean,alnus_decline_idw_2d_age_older,alnus_decline_idw_2d_age_younger,alnus_decline_depth,alnus_decline_age_basis,quercus_rise_idw_2d_age_mean,quercus_rise_idw_2d_age_older,quercus_rise_idw_2d_age_younger,quercus_rise_depth,quercus_rise_age_basis
150,Crystal Lake,CRYSTAL,-88.363333,42.235278,273,United States,NA,Calibrated radiocarbon years BP,linear interpolation,6500,17000,n,y,y,y,y,excel,591.929384,287.786121,163.8,11550,11748,11358,1873,pollen stratigraphic: picea decline idw-2d,10893,11128,10670,1841,pollen stratigraphic: alnus decline idw-2d,11077,11305,10846,1849,pollen stratigraphic: quercus rise idw-2d
153,Cupola Pond,CUPOLA,-91.1,36.8,244,United States,283,Radiocarbon years BP,"linear interpolation, straight line fit",0,17330,y,y,y,y,y,access,413.14534,-365.991768,146.4,11296,11446,11158,215,pollen stratigraphic: picea decline idw-2d,11041,11222,10855,315,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
157,South Dansville buried peat,DANSVILL,-77.6315,42.4984,572,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,1250,18640,y,y,y,y,y,excel,1410.420841,432.097217,343.2,10807,11094,10504,105,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Devil's Bathtub,DBATHTUB,-77.573889,43.024444,198,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,1740,13430,n,n,y,y,y,excel,1402.780432,493.956016,118.8,10677,11027,10304,1810,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Decoy Lake,DECOY,-80.366667,43.233333,260,Canada,50000,Calibrated radiocarbon years BP,linear interpolation,0,13615,n,n,y,y,y,access,1188.218993,480.083113,156,11587,11901,11257,400,pollen stratigraphic: picea decline idw-2d,11585,11907,11257,400,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
168,Demont Lake,DEMONT,-85.0532,43.5084,268,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,10,13320,n,n,y,y,y,excel,830.197856,462.385184,160.8,11146,11268,11035,715,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,Devils Lake,DEVILSWI,-89.7256,43.4273,294,United States,50007,Calibrated radiocarbon years BP,linear interpolation,9550,14747,n,y,y,y,y,access,477.191546,420.610073,176.4,10354,10524,10181,504,pollen stratigraphic: picea decline idw-2d,11499,12037,10970,544,pollen stratigraphic: alnus decline idw-2d,10485,10661,10312,509,pollen stratigraphic: quercus rise idw-2d
177,Disterhaft Farm Bog,DISTRHFT,-89.166944,43.916944,244,United States,1395,Radiocarbon years BP,linear interpolation,500,13960,n,y,y,y,y,access,515.440595,481.274435,146.4,10531,10672,10390,620,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,10558,10706,10409,520,pollen stratigraphic: quercus rise idw-2d
178,Divers Lake,DIVERS,-78.3993,43.0411,239,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,-50,16030,n,y,y,y,y,excel,1340.319442,483.94712,143.4,10660,11020,10276,695,pollen stratigraphic: picea decline idw-2d,11433,11641,11221,825,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
198,Emrick Lake,EMRICK,-89.594,43.8,270,United States,NA,Calibrated radiocarbon years B.P.,3rd order polynomial,-60,13490,n,n,y,y,y,excel,484.210426,465.233252,162,10434,10590,10277,797,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
