"ID","longitude","latitude","altitude","mean.tps.age.2d","sd.tps.age.2d","lower.95.tps.2d","upper.95.tps.2d","mean.tps.age.3d","sd.tps.age.3d","lower.95.tps.3d","upper.95.tps.3d"
285,1708.401628,240.399319,9,11200.2081910338,109.872592480119,10978.9430536200,11403.3832617198,11550.9118305927,94.062191657066,11362.7862683929,11738.0760819837
290,1440.067278,681.443583,115.2,11670.2317084751,254.406676437009,11261.4449851495,12127.1320725361,11495.8273924739,109.800843623229,11302.4563337835,11714.3815609142
291,1363.984194,495.243899,113.4,11532.5417795365,210.691816679852,11193.9469766875,11895.0411088806,11464.4539662348,110.634567765026,11272.4629472071,11692.4576323396
297,1330.646654,422.102021,256.8,11410.9627181109,167.166847973133,11163.3103608477,11722.6061251258,11007.9451511806,148.766910911381,10727.4312588712,11290.2131775117
305,1714.260775,413.376606,44.4,11501.4931997115,177.219822868804,11211.4720374170,11830.1004412270,11517.6680423609,84.9872460595775,11342.8045313582,11677.1268653311
310,1407.897511,670.824542,100.2,11665.6919517426,257.141137796142,11253.7618759871,12124.932353593,11513.0152567629,101.578498990189,11330.7131408110,11707.9713764261
322,1010.499602,940.257064,258,11520.1592444234,264.682160218667,11035.5818867020,12039.7296239991,11009.2639949952,145.962051071041,10713.3751718892,11286.3291382795
323,857.083889,-255.797962,157.2,10602.1944072244,300.184493769568,10059.2472950656,11068.9717188947,10888.4594423902,137.491586101205,10600.3886758697,11121.3710687619
338,416.579201,638.566278,282,11116.9419538286,189.749847159722,10742.8309355735,11477.8444890829,10673.8879060806,194.275403792487,10277.7686086144,11026.335072557
339,416.579201,638.566278,282,11116.9419538286,189.749847159722,10742.8309355735,11477.8444890829,10673.8879060806,194.275403792487,10277.7686086144,11026.335072557
340,611.443341,526.951772,156.6,11325.9259893555,226.434622070091,10996.7571938415,11849.3763433388,11214.7864232732,107.05128643766,11001.5986695058,11422.4876163177
351,214.317135,567.056794,171.6,10820.0806077191,257.764110061973,10360.6550066713,11271.9432829223,10955.4872735968,209.618481607910,10541.6441977871,11330.8524483816
354,243.327111,798.190619,231.6,10840.6585330454,326.091441010041,10217.7800893468,11386.1221356671,10845.7768420934,217.465632208965,10409.8865711469,11223.3129116820
357,299.031878,874.811663,291,10898.6010109301,327.300869549891,10255.8836004320,11432.6682165463,10668.2728978736,233.394502925054,10189.5193451652,11086.3405721459
362,2208.933747,855.219404,36,11572.2021562698,167.434041423913,11274.1546161435,11884.8835383986,11593.8752591557,133.188127949692,11318.7274445808,11834.9388523069
364,855.393831,714.370606,129.6,11489.1422324244,241.065607233709,11118.3800588436,11979.0517060047,11387.4760525149,116.356917730689,11153.1930754168,11606.0543636560
383,442.498099,752.606934,292.8,11110.9696894912,213.225773040614,10662.4053005726,11487.6924119885,10669.5755580246,204.471084396618,10252.2990452932,11033.0846879885
384,1094.969357,895.201225,199.8,11577.1800482999,267.012979994719,11133.0538114386,12109.0397440254,11251.6496946968,128.315379633013,11005.6569901311,11504.1306314072
395,235.179732,600.5461,154.8,10847.1466937870,254.344457617164,10370.5911128415,11290.4970444231,11046.6138799279,198.173102158266,10651.6684555530,11405.7905390446
396,486.999517,952.374979,180.6,11093.2317435681,285.713875174117,10469.2619609768,11543.0183685019,11140.8545301729,179.728043990525,10759.0426042033,11460.2339698361
398,550.898196,351.551151,181.2,11136.8113094508,149.337602573201,10882.6984373238,11455.0229973603,11061.3078867721,104.794956150432,10856.0794974710,11267.7216285422
407,343.697933,953.673391,277.2,10932.7178245124,343.495840698052,10231.1960517241,11479.7951066375,10752.6197904942,225.849288924437,10286.7471526564,11159.3214306125
410,2345.234118,951.874302,24,11563.2366096469,141.914535307320,11287.3409332854,11822.3740244909,11613.2795358240,123.037003257375,11368.6851980925,11844.8390748302
412,1313.731467,494.095588,65.4,11523.5762614083,216.429496806868,11186.4950141257,11894.0115034462,11513.2010789009,92.8780940176848,11323.7005943857,11698.2202976011
415,1609.740795,230.329003,115.2,11111.4079155775,131.134078798471,10846.1656946424,11323.4947508666,11349.4425267481,93.7806710841352,11183.2181137070,11537.698625694
423,1322.08686,664.014767,145.2,11654.8441069106,264.450903947154,11235.6036958059,12117.5041271456,11450.52459575,137.652914034394,11219.6252417943,11731.1500197011
425,1322.08686,664.014767,145.2,11654.8441069106,264.450903947154,11235.6036958059,12117.5041271456,11450.52459575,137.652914034394,11219.6252417943,11731.1500197011
438,1166.300549,475.471964,180,11467.6512719172,216.449700887744,11151.3528754711,11862.6021785295,11324.2047733241,154.397228442594,11078.4978398858,11643.5872105160
439,1739.10979,1062.782452,301.8,11581.8009077325,280.210237484755,10990.6148247659,12140.8218447544,10933.4632146305,192.325077109000,10570.7538516267,11298.6358851433
444,1637.606707,993.976186,138,11615.5469628051,267.868378968987,11109.4923536197,12154.2853714641,11460.2683160844,115.694037348097,11249.5735083334,11709.1824306203
445,1649.324653,1004.350371,162,11610.8689905713,269.814741668697,11088.7119558826,12157.7846271021,11406.0187050372,124.362451604444,11182.2202586899,11667.7067562805
446,2171.406773,972.122829,30,11554.5771496140,124.316535967417,11313.5090927697,11788.4941201361,11620.1831489374,115.367200016721,11397.204303109,11832.9345180071
461,503.334581,383.609947,154.2,11195.1199309264,189.734975045217,10913.5913445023,11638.3304758410,11132.7604550052,112.445474746612,10912.0099961582,11347.1997443536
468,1798.215484,1130.036348,253.8,11553.0742358122,298.165866675267,10875.4480121638,12141.2646434110,11124.4677582899,168.617658091390,10801.8518195588,11438.0728715818
472,1945.087858,490.589427,24,11570.2359776746,202.030312519293,11250.5846093921,11989.1919113857,11577.4774217202,90.843666675526,11397.7922074837,11748.0331784613
474,1945.087858,490.589427,24,11570.2359776746,202.030312519293,11250.5846093921,11989.1919113857,11577.4774217202,90.843666675526,11397.7922074837,11748.0331784613
475,1757.624458,426.075678,216,11520.4998812863,186.554507340694,11221.7911231796,11868.0438575829,11278.6269469236,211.951983734482,10891.7624636926,11691.6215471364
492,2052.464926,851.837778,62.4,11587.2220589423,135.773088771082,11354.5256581838,11860.3113679637,11560.9948974007,104.122763011612,11361.3747527640,11769.9556923506
502,967.024623,126.544555,183,10765.9543910457,246.306365096759,10325.7053262198,11161.5734682482,11047.3075659592,91.702765492549,10874.3086334671,11230.5689645474
504,1345.109139,425.158011,262.8,11419.7310948075,167.480398904423,11167.7058789086,11726.9355588148,10980.8037973944,150.370296781223,10694.5877249999,11266.6250963221
505,1042.169813,859.546311,228,11566.2920044274,261.930602694216,11138.3063532517,12077.7641638736,11134.8678835777,130.419076328132,10886.7332605822,11386.9030209461
508,1751.719363,526.020445,351.6,11601.2294654293,205.971242597915,11262.0215477377,11976.007621089,10587.4333760755,232.954183852764,10156.2402099134,11001.3669737907
512,1216.484364,722.75955,183,11645.6872522011,271.026455487985,11228.6739941816,12137.0339057699,11340.6216311167,140.091987833980,11097.8407415832,11630.6589143443
517,466.196158,1010.980856,150,11048.5007436874,323.410323258585,10338.4544211241,11550.9219927214,11239.9325476831,193.662909841207,10821.4126553212,11582.6053132110
522,490.223977,743.003732,308.4,11172.5142356583,204.486446723837,10749.6464644665,11552.1786904102,10615.9465054812,209.200632194822,10185.7497112419,10994.6692079734
523,1672.993563,364.487447,138,11425.7474749699,140.396550326999,11196.1556912968,11692.0031856259,11381.7844798195,120.297956854527,11160.4871722839,11613.6637626991
534,505.65161,1030.153425,150,11081.4716544669,321.100667187239,10371.4384651700,11574.0524474606,11254.2862809590,189.782015598796,10843.2469451763,11586.6518849339
539,1684.011097,351.384315,73.2,11408.6520231994,134.168470864398,11188.2908222954,11670.7479819328,11438.8047654006,88.1381472707893,11251.9261367207,11607.9306618166
542,1227.430624,498.313784,55.2,11515.1445466985,228.024462355523,11174.1590805156,11917.3662318768,11525.9176638996,101.041251844386,11315.4285249475,11721.7508632775
559,547.795885,643.309012,234,11270.4021065078,205.872202852689,10922.82788057,11732.0603664152,10921.3061442033,142.456346962080,10623.8956620727,11190.348893982
560,716.024582,225.353125,145.8,10983.2732583383,135.340698626493,10704.9024672983,11212.4485282468,11125.6849891671,109.957168990145,10896.4595424391,11314.5282722334
561,1474.158717,803.759198,97.2,11675.1399698666,255.918030840787,11280.4893315752,12164.6724274576,11530.9813782776,101.237627663954,11336.9724597742,11730.4397849302
567,1909.321421,736.340537,56.4,11629.2386195496,167.929441687141,11332.3768797056,11937.8367969027,11565.7534202595,90.3790503555824,11387.1232516991,11738.4217497985
569,1198.235627,685.185909,112.8,11635.3951740364,269.926406665256,11213.8873581883,12114.6646878777,11488.1925030473,114.384738506928,11283.368946587,11713.9395328586
571,687.320905,217.897855,113.4,10980.4767257142,136.389057759407,10704.1504814867,11214.5579007981,11202.7251538491,134.088854939188,10929.2758210445,11432.8745257657
580,1344.352381,434.334204,258,11436.0641146913,174.071458022002,11170.5355288029,11748.0546845809,11010.0192611595,150.857979484222,10725.8597152624,11296.3469609517
584,458.003829,-387.060583,54.6,10853.6984672244,344.986881103736,10268.6077453615,11669.4774125750,11086.0490915304,192.895282691782,10691.2056630906,11410.8157598963
585,882.301583,130.457885,150,10825.7847613198,211.005336246628,10421.1734124664,11157.4482616804,11121.1239037107,102.743329384107,10913.0690926327,11316.3316499001
590,1106.469702,200.065108,183,10859.0772832767,221.719582212101,10446.9095848328,11201.7851265401,11139.0095871167,102.016566047474,10955.85509055,11349.1696023827
591,600.836143,426.635232,164.4,11252.5275857934,197.593356124354,10962.8451571695,11715.3169237104,11164.1923756497,101.853259474085,10962.8162313175,11367.1340191557
595,1449.966579,814.341523,120,11673.1420915646,259.156523131814,11271.2119652245,12172.0911419917,11495.9286143233,110.500698227824,11294.4149879982,11723.8708013320
596,226.78555,1107.673804,276,10764.2490580821,483.7812086528,9831.22395587093,11523.5539732820,10763.3657094829,256.551879699480,10243.6890154308,11219.0948710739
621,1788.622567,904.062638,192,11623.9306519417,216.493701466959,11253.4328354689,12058.3589476445,11330.1341977850,143.660214366695,11066.3103178526,11613.5497906108
626,823.542266,39.129137,160.8,10766.6378625514,245.040492270718,10312.9927100805,11141.6465025825,11019.8355109226,115.876128032001,10791.1703090480,11235.8051004497
632,1331.35006,621.427243,111.6,11638.7686505189,258.243231899152,11224.5764413314,12086.6682992079,11492.4302912939,111.922373632360,11296.2103479540,11713.9360388394
633,1339.779926,631.226522,111.6,11644.5720788632,259.069413777067,11229.1274274999,12092.7829649671,11493.9522214525,111.534232707417,11297.2744871271,11712.3285042325
641,1859.271868,396.773917,54.6,11495.8758506708,181.749091349445,11213.6253377606,11864.0624882695,11492.9474415144,83.177044674262,11332.5396907287,11656.7216052275
644,1238.505426,602.23429,136.8,11612.3200836721,260.782305457052,11206.6948658535,12050.7495210226,11457.2871865241,138.232125370015,11229.6655387220,11745.3965584653
649,1981.124539,742.890178,22.2,11616.0112965156,159.058789466339,11340.2643244713,11913.4687159436,11625.1008734826,104.658121185351,11418.513070544,11813.1991238374
650,1135.526564,503.430813,199.8,11494.972327126,228.417647403022,11150.4499698940,11904.5898566173,11243.7698328384,140.527778854786,11007.9244492508,11529.6325842807
658,1643.267557,986.595137,144,11617.7737717149,265.079831728126,11121.8720731986,12150.8624992118,11447.5324220627,117.590144013897,11229.5224393131,11697.5396159765
663,1554.804453,893.011662,272.4,11654.1880366490,254.247062355087,11261.2848172656,12165.0293653230,11036.4364996679,164.682872565763,10740.2628388977,11345.6385427574
664,1556.803948,907.313702,241.8,11649.8909279115,256.325292936185,11245.5579044737,12169.2158887465,11162.7446109411,154.069768360034,10880.9726611219,11462.9275143042
676,1186.986082,-320.723637,229.8,10452.7555470623,363.807078341978,9898.69063359642,11084.6167870754,10644.1976874063,167.539199999700,10347.6229688449,10946.2740704891
678,193.257704,545.332232,183,10793.9645175068,265.481014362345,10307.1064798168,11259.9471902217,10881.0462775293,225.713176034986,10420.8019879979,11280.6835649146
680,1708.235784,845.152721,169.2,11650.4345198668,220.354464344606,11310.6092365494,12086.0841928437,11394.1388137141,133.960760079224,11151.7998302623,11665.7415558426
683,1074.354549,691.22407,123.6,11594.9162114621,264.038541992286,11190.1748392102,12076.4105262266,11453.1431372207,117.998731087710,11241.1522435500,11686.1546227971
687,2370.1937,947.569208,41.4,11566.1234812907,151.817897144268,11269.5845850335,11841.3651085615,11577.4836793468,116.388908554410,11347.3637124589,11802.3463157177
693,1082.313168,101.755161,175.2,10647.2863779573,320.212660311788,10127.3738773644,11168.0726499397,11091.2280383172,94.1523570370932,10916.8674650035,11283.8325018448
702,652.872747,795.499242,121.8,11323.0343033127,216.905453148749,10904.4611675117,11755.8078356647,11351.3912386690,142.631065000958,11047.5210644434,11616.7835233042
704,2084.541639,938.529634,63.6,11565.3319976637,147.225509121471,11286.5356069873,11844.1793997728,11566.4939093246,119.445782321701,11337.2366056073,11807.0264167445
